hour,net_demand,batt_kw,diesel_kw,grid_import,curtailed_kw,soc_frac,tariff
0.0,16.47999999999999,-21.145313608517608,0.0,37.6253136085176,0.0,0.5253523403935155,3.75
1.0,28.052999999999997,-21.145313608517608,0.0,49.19831360851761,0.0,0.5507046807870312,3.75
2.0,24.908,-21.145313608517608,0.0,46.05331360851761,0.0,0.5760570211805467,3.75
3.0,26.623999999999995,-21.145313608517608,0.0,47.769313608517606,0.0,0.6014093615740623,3.75
4.0,16.435000000000002,-21.145313608517608,0.0,37.58031360851761,0.0,0.6267617019675779,3.75
5.0,46.672,-21.145313608517608,0.0,67.81731360851761,0.0,0.6521140423610935,3.75
6.0,82.46199999999999,82.46199999999999,0.0,0.0,0.0,0.5446483197862528,8.2
7.0,33.221999999999994,33.221999999999994,0.0,0.0,0.0,0.501352908137477,8.2
8.0,-47.97500000000001,-47.97500000000001,0.0,0.0,0.0,0.558872912470209,8.2
9.0,-136.40300000000002,-70.4843786950587,0.0,0.0,65.91862130494133,0.6433807137819275,6.1
10.0,-225.39499999999998,-70.4843786950587,0.0,0.0,154.9106213049413,0.727888515093646,6.1
11.0,-320.806,-70.4843786950587,0.0,0.0,250.3216213049413,0.8123963164053646,6.1
12.0,-312.166,-70.4843786950587,0.0,0.0,241.6816213049413,0.8969041177170831,6.1
13.0,-323.834,-44.285027132263316,0.0,0.0,279.54897286773667,0.95,6.1
14.0,-299.241,-0.0,0.0,0.0,299.241,0.95,6.1
15.0,-232.70999999999998,-0.0,0.0,0.0,232.70999999999998,0.95,6.1
16.0,-105.292,-0.0,0.0,0.0,105.292,0.95,6.1
17.0,23.71900000000001,0.0,0.0,23.71900000000001,0.0,0.95,6.1
18.0,92.047,92.047,0.0,0.0,0.0,0.8300429608080527,9.5
19.0,107.92099999999999,107.92099999999999,0.0,0.0,0.0,0.689398685311468,9.5
20.0,101.197,101.197,0.0,0.0,0.0,0.5575172280656318,9.5
21.0,130.546,130.546,0.0,0.0,0.0,0.38738771120628884,9.5
22.0,107.581,0.0,0.0,107.581,0.0,0.38738771120628884,6.1
23.0,64.69900000000001,0.0,0.0,64.69900000000001,0.0,0.38738771120628884,6.1
