hour,net_demand,batt_kw,diesel_kw,grid_import,curtailed_kw,soc_frac,tariff
0.0,110.807,-39.0,0.0,149.80700000000002,0.0,0.546759357352299,3.75
1.0,110.934,-39.0,0.0,149.934,0.0,0.5935187147045979,3.75
2.0,111.37299999999999,-39.0,0.0,150.373,0.0,0.640278072056897,3.75
3.0,119.35600000000001,-39.0,0.0,158.356,0.0,0.687037429409196,3.75
4.0,123.08500000000001,-39.0,0.0,162.085,0.0,0.733796786761495,3.75
5.0,123.43799999999999,-39.0,0.0,162.438,0.0,0.7805561441137939,3.75
6.0,147.25,130.0,0.0,17.25,0.0,0.6111381826924207,8.2
7.0,91.19299999999998,91.19299999999998,0.0,0.0,0.0,0.4922940891855031,8.2
8.0,40.316,40.316,0.0,0.0,0.0,0.4397536697034717,8.2
9.0,-32.644000000000005,-32.644000000000005,0.0,0.0,0.0,0.4788924507652268,6.1
10.0,-105.61499999999998,-105.61499999999998,0.0,0.0,0.0,0.6055203873488949,6.1
11.0,-204.30300000000003,-130.0,0.0,0.0,74.30300000000003,0.7613849118565583,6.1
12.0,-206.815,-130.0,0.0,0.0,76.815,0.9172494363642218,6.1
13.0,-185.828,-27.315858346212906,0.0,0.0,158.5121416537871,0.95,6.1
14.0,-178.94500000000002,-0.0,0.0,0.0,178.94500000000002,0.95,6.1
15.0,-118.01,-0.0,0.0,0.0,118.01,0.95,6.1
16.0,-8.994999999999987,-0.0,0.0,0.0,8.994999999999987,0.95,6.1
17.0,100.42,0.0,0.0,100.42,0.0,0.95,6.1
18.0,184.44400000000002,130.0,0.0,54.44400000000002,0.0,0.7805820385786268,9.5
19.0,185.17700000000002,130.0,0.0,55.17700000000002,0.0,0.6111640771572536,9.5
20.0,182.423,130.0,0.0,52.423,0.0,0.4417461157358804,9.5
21.0,160.566,108.76647842452293,0.0,51.79952157547707,0.0,0.3,9.5
22.0,146.273,0.0,0.0,146.273,0.0,0.3,6.1
23.0,124.23999999999998,0.0,0.0,124.23999999999998,0.0,0.3,6.1
